,Date_and_Time,Tweet_Id,User,Tweet,Like_Count,Retweet_Count,Lang,Location,Country
0,2022-07-31 18:37:50+00:00,1553812196060274690,KeyWestPsychic,All the food I’m going to be making is from https://t.co/aI9JlmPUVo. It’s all fitness people that post recipes. I o… https://t.co/ehkk5XV1wD,0,0,en,🇨🇦Canada,Canada
1,2022-07-30 22:07:43+00:00,1553502628000448512,MathieuChiasson,"@SBakerMD The guy feed his dog a vegan diet... He is actually an ethical vegan disguised as a ""doctor"" who does it… https://t.co/HMeayAkpg5",0,0,en,Canada,Canada
2,2022-07-30 13:50:54+00:00,1553377596674637824,Mysticienne,@nonbinarybooty Eating a diet of whole plant foods has been historically known as a peasant's diet. I have lived be… https://t.co/B6vorh18ZY,0,0,en,Canada,Canada
3,2022-07-30 09:04:52+00:00,1553305613769224192,PettyWalrus,I need answers on the McDonald’s thing bc how did we go from vegan diet promo to McDonald’s collaborations,2,0,en,Canada,Canada
4,2022-07-30 09:00:26+00:00,1553304498390503424,PettyWalrus,At least we’re finally out of the vegan diet era no more fear of another cursed GMA event again,0,0,en,Canada,Canada
5,2022-07-30 06:03:15+00:00,1553259909868687361,emj0415,@nonbinarybooty my dad was forced into a vegan diet for his heart. i’m just so thankful for vegans driving up aware… https://t.co/QtVABCsqS2,4,0,en,Canada,Canada
6,2022-07-29 22:44:01+00:00,1553149374020157442,MathieuChiasson,@TheNutrivore @pufadave @LukeLac00913475 The implied nutritional hole from a pure vegan diet.,0,0,en,Canada,Canada
7,2022-07-29 19:13:46+00:00,1553096464275894272,manicbookkeeper,@WBrettWilson Most people who follow a plant based diet read the labels. I don’t this statement is a true represent… https://t.co/a1SnImmXV6,0,0,en,Canada,Canada
8,2022-07-28 17:01:18+00:00,1552700739058749440,nafsikasgarden,"Add our vegan cheddar cheese to your next recipe and experience the deliciousness! 🧀🌱😋
.
.
#comfortfood… https://t.co/0VTPeRyYPz",0,0,en,Canada,Canada
9,2022-07-26 16:58:59+00:00,1551975378092077056,nafsikasgarden,"Taco Tuesday is here! 🌮😋 Enjoy your favourite tacos with our vegan cheese 🧀🌱 
Via: ohrngtn on IG
.
.
#comfortfood… https://t.co/MVwKykAu9W",0,0,en,Canada,Canada
10,2022-07-26 06:42:15+00:00,1551820175040581633,crusaderx2,"@bevedoni @elonmusk ..and Trump aborts plans to initiate NHSTA review of autopilot, all while losing 80 lbs in 3 we… https://t.co/iKe0F6dou7",0,0,en,Canada,Canada
11,2022-07-26 02:36:10+00:00,1551758244074356736,healthstepsonly,"Why a plant-based diet could be your answer to a healthier, happier life in 2022 #Food #plantbased   https://t.co/QMwzkDZN9A",0,0,en,Canada,Canada
12,2022-07-25 13:21:43+00:00,1551558313946615808,KeyWestPsychic,"Other vegans told me that they would feel weak, have low iron, and their hair would fall out from not eating meat.… https://t.co/CSO7jbF0pt",0,0,en,🇨🇦Canada,Canada
13,2022-07-24 19:11:15+00:00,1551283889502425089,LibertasIustis,"@captainpylon @DavidBellamyUK Yeah but I'm thinking of the person washing the floors, not their fault 🤣🤣🤣 and the c… https://t.co/OZ82VEXMZE",0,0,en,Canada,Canada
14,2022-08-03 12:23:23+00:00,1554805127189594113,kittendrawers,"@SkeloGlizzy @Wes_Talley @MetroUK Funny thing is,my diet is mostly vegetarian,which is completely healthy and achie… https://t.co/CPrgZa4Lqs",1,0,en,United States,US
15,2022-08-03 11:45:10+00:00,1554795507742130177,RobotPeston,The man who used to live in David Cameron's house simply insisted that I tell you that post-Brexit the government w… https://t.co/TC8Rf6PyLj,0,0,en,Westminster,US
