,Date_and_Time,Tweet_Id,User,Tweet,Like_Count,Retweet_Count,Lang,Location,Country,Cleaned_Tweets,POS_tagged,Lemma
0,2022-07-31 18:37:50+00:00,1553812196060274690,KeyWestPsychic,All the food I’m going to be making is from https://t.co/aI9JlmPUVo. It’s all fitness people that post recipes. I o… https://t.co/ehkk5XV1wD,0,0,en,🇨🇦Canada,Canada,"food,going,making,from,fitness,people,that,post,recipes","[('food', 'n'), (',', None), ('going', 'v'), (',', None), ('making', 'v'), (',', None), (',', None), ('fitness', 'n'), (',', None), ('people', 'n'), (',', None), (',', None), ('post', 'n'), (',', None), ('recipes', 'n')]",food go make fitness people post recipe
1,2022-07-30 22:07:43+00:00,1553502628000448512,MathieuChiasson,"@SBakerMD The guy feed his dog a vegan diet... He is actually an ethical vegan disguised as a ""doctor"" who does it… https://t.co/HMeayAkpg5",0,0,en,Canada,Canada,"feed,vegan,diet,actually,ethical,vegan,disguised,doctor,does","[('feed', 'n'), (',', None), ('vegan', 'n'), (',', None), ('diet', 'a'), (',', None), ('actually', 'r'), (',', None), ('ethical', 'a'), (',', None), ('vegan', 'a'), (',', None), ('disguised', 'v'), (',', None), ('doctor', 'n'), (',', None)]",feed vegan diet actually ethical vegan disguise doctor
2,2022-07-30 13:50:54+00:00,1553377596674637824,Mysticienne,@nonbinarybooty Eating a diet of whole plant foods has been historically known as a peasant's diet. I have lived be… https://t.co/B6vorh18ZY,0,0,en,Canada,Canada,"eating,diet,whole,plant,foods,been,historically,known,peasants,diet,have,lived","[('eating', 'n'), (',', None), ('diet', 'a'), (',', None), ('whole', 'a'), (',', None), ('plant', 'n'), (',', None), ('foods', 'n'), (',', None), (',', None), ('historically', 'r'), (',', None), ('known', 'v'), (',', None), ('peasants', 'n'), (',', None), ('diet', 'n'), (',', None), (',', None), ('lived', 'v')]",eating diet whole plant food historically know peasant diet live
3,2022-07-30 09:04:52+00:00,1553305613769224192,PettyWalrus,I need answers on the McDonald’s thing bc how did we go from vegan diet promo to McDonald’s collaborations,2,0,en,Canada,Canada,"need,answers,mcdonalds,thing,from,vegan,diet,promo,mcdonalds,collaborations","[('need', 'n'), (',', None), ('answers', 'n'), (',', None), ('mcdonalds', 'n'), (',', None), ('thing', 'n'), (',', None), (',', None), ('vegan', None), (',', None), ('diet', 'a'), (',', None), ('promo', 'n'), (',', None), ('mcdonalds', 'n'), (',', None), ('collaborations', 'n')]",need answer mcdonalds thing vegan diet promo mcdonalds collaboration
4,2022-07-30 09:00:26+00:00,1553304498390503424,PettyWalrus,At least we’re finally out of the vegan diet era no more fear of another cursed GMA event again,0,0,en,Canada,Canada,"least,were,finally,vegan,diet,more,fear,another,cursed,event,again","[('least', 'a'), (',', None), (',', None), ('finally', 'r'), (',', None), ('vegan', 'n'), (',', None), ('diet', 'a'), (',', None), (',', None), ('fear', 'n'), (',', None), ('another', None), (',', None), ('cursed', 'v'), (',', None), ('event', 'n'), (',', None)]",least finally vegan diet fear another curse event
5,2022-07-30 06:03:15+00:00,1553259909868687361,emj0415,@nonbinarybooty my dad was forced into a vegan diet for his heart. i’m just so thankful for vegans driving up aware… https://t.co/QtVABCsqS2,4,0,en,Canada,Canada,"forced,into,vegan,diet,heart,just,thankful,vegans,driving,aware","[('forced', 'v'), (',', None), (',', None), ('vegan', None), (',', None), ('diet', 'a'), (',', None), ('heart', 'n'), (',', None), (',', None), ('thankful', 'a'), (',', None), ('vegans', 'n'), (',', None), ('driving', 'v'), (',', None), ('aware', 'a')]",force vegan diet heart thankful vegan drive aware
6,2022-07-29 22:44:01+00:00,1553149374020157442,MathieuChiasson,@TheNutrivore @pufadave @LukeLac00913475 The implied nutritional hole from a pure vegan diet.,0,0,en,Canada,Canada,"implied,nutritional,hole,from,pure,vegan,diet","[('implied', 'v'), (',', None), ('nutritional', 'a'), (',', None), ('hole', 'a'), (',', None), (',', None), ('pure', 'n'), (',', None), ('vegan', 'n'), (',', None), ('diet', 'a')]",imply nutritional hole pure vegan diet
7,2022-07-29 19:13:46+00:00,1553096464275894272,manicbookkeeper,@WBrettWilson Most people who follow a plant based diet read the labels. I don’t this statement is a true represent… https://t.co/a1SnImmXV6,0,0,en,Canada,Canada,"most,people,follow,plant,based,diet,read,labels,dont,this,statement,true,represent","[(',', None), ('people', 'n'), (',', None), ('follow', 'v'), (',', None), ('plant', 'n'), (',', None), ('based', 'v'), (',', None), ('diet', 'a'), (',', None), ('read', 'a'), (',', None), ('labels', 'n'), (',', None), ('dont', 'n'), (',', None), (',', None), ('statement', 'n'), (',', None), ('true', 'a'), (',', None), ('represent', 'n')]",people follow plant base diet read label statement true represent
8,2022-07-28 17:01:18+00:00,1552700739058749440,nafsikasgarden,"Add our vegan cheddar cheese to your next recipe and experience the deliciousness! 🧀🌱😋
.
.
#comfortfood… https://t.co/0VTPeRyYPz",0,0,en,Canada,Canada,"vegan,cheddar,cheese,your,next,recipe,experience,deliciousness","[('vegan', 'n'), (',', None), ('cheddar', 'n'), (',', None), ('cheese', 'n'), (',', None), (',', None), ('next', 'a'), (',', None), ('recipe', 'a'), (',', None), ('experience', 'n'), (',', None), ('deliciousness', 'n')]",vegan cheddar cheese next recipe experience deliciousness
9,2022-07-26 16:58:59+00:00,1551975378092077056,nafsikasgarden,"Taco Tuesday is here! 🌮😋 Enjoy your favourite tacos with our vegan cheese 🧀🌱 
Via: ohrngtn on IG
.
.
#comfortfood… https://t.co/MVwKykAu9W",0,0,en,Canada,Canada,"taco,tuesday,here,enjoy,your,favourite,tacos,with,vegan,cheese,ohrngtn","[('taco', 'n'), (',', None), ('tuesday', 'n'), (',', None), (',', None), ('enjoy', 'r'), (',', None), (',', None), ('favourite', 'r'), (',', None), ('tacos', 'n'), (',', None), (',', None), ('vegan', None), (',', None), ('cheese', 'n'), (',', None), ('ohrngtn', 'n')]",taco tuesday enjoy favourite taco vegan cheese ohrngtn
